Type	n-grams	SmoothingParam	State	Precision	Recall	F-Measure
supervised	1-gram	1/10	B	0.9619771863117871	0.5232678386763185	0.6778298727394508	
supervised	1-gram	1/10	I	0.952833850931677	0.9504356243949661	0.9516332267131918	
supervised	1-gram	1/10	O	0.9385519890000474	0.9616225406849648	0.9499472118245513	

supervised	2-gram	1/10	B	0.7836312323612418	0.8614270941054809	0.8206896551724138	
supervised	2-gram	1/10	I	0.8972759486195186	0.941297192642788	0.9187595668688701	
supervised	2-gram	1/10	O	0.9288835709083342	0.8673791595822201	0.8970784032959027	

supervised	1-gram	3/10	B	0.9619771863117871	0.5232678386763185	0.6778298727394508	
supervised	1-gram	3/10	I	0.952833850931677	0.9504356243949661	0.9516332267131918	
supervised	1-gram	3/10	O	0.9385519890000474	0.9616225406849648	0.9499472118245513	

supervised	2-gram	3/10	B	0.7843691148775895	0.8614270941054809	0.8210941350418925	
supervised	2-gram	3/10	I	0.8972721568048428	0.9412584704743466	0.9187391337213697	
supervised	2-gram	3/10	O	0.9288389513108614	0.8674277386446442	0.8970835740661659	

supervised	1-gram	1/2	B	0.9619771863117871	0.5232678386763185	0.6778298727394508	
supervised	1-gram	1/2	I	0.952833850931677	0.9504356243949661	0.9516332267131918	
supervised	1-gram	1/2	O	0.9385519890000474	0.9616225406849648	0.9499472118245513	

supervised	2-gram	1/2	B	0.7843691148775895	0.8614270941054809	0.8210941350418925	
supervised	2-gram	1/2	I	0.8973014876887297	0.941219748305905	0.9187360622897532	
supervised	2-gram	1/2	O	0.9287943409965671	0.8674763177070683	0.8970887443168973	

supervised	1-gram	1	B	0.9619771863117871	0.5232678386763185	0.6778298727394508	
supervised	1-gram	1	I	0.952833850931677	0.9504356243949661	0.9516332267131918	
supervised	1-gram	1	O	0.9385519890000474	0.9616225406849648	0.9499472118245513	

supervised	2-gram	1	B	0.777260018639329	0.8624612202688728	0.8176470588235294	
supervised	2-gram	1	I	0.8974084465445954	0.941297192642788	0.918829021223518	
supervised	2-gram	1	O	0.9290695253955037	0.8672820014573719	0.8971131378608578	
